Адыгейск Респ Адыгея;Адыгейск;3;44.878414;39.190289
Майкоп Респ Адыгея;Майкоп;3;44.6098268;40.1006606
Горно-Алтайск Респ Алтай;Горно-Алтайск;7;51.9581028;85.9603235
Алейск край Алтайский;Алейск;7;52.4922513;82.7793606
Барнаул край Алтайский;Барнаул;7;53.3479968;83.7798064
Белокуриха край Алтайский;Белокуриха;7;51.996152;84.9839604
Бийск край Алтайский;Бийск;7;52.5393864;85.2138453
Горняк край Алтайский р-н Локтевский;Горняк;7;50.9979622;81.4643358
Заринск край Алтайский;Заринск;7;53.7063476;84.9315081
Змеиногорск край Алтайский р-н Змеиногорский;Змеиногорск;7;51.1581094;82.1872547
Камень-на-Оби край Алтайский р-н Каменский;Камень-на-Оби;7;53.7913974;81.3545053
Новоалтайск край Алтайский;Новоалтайск;7;53.4119759;83.9311069
Рубцовск край Алтайский;Рубцовск;7;51.5012067;81.2078695
Славгород край Алтайский;Славгород;7;52.999463;78.6459232
Яровое край Алтайский;Яровое;7;52.9252146;78.5729775
Белогорск обл Амурская;Белогорск;9;50.9213415;128.4739471
Благовещенск обл Амурская;Благовещенск;9;50.290659;127.527198
Завитинск обл Амурская р-н Завитинский;Завитинск;9;50.1064111;129.4391813
Зея обл Амурская;Зея;9;53.7340088;127.265787
Райчихинск обл Амурская;Райчихинск;9;49.7941615;129.4112492
Свободный обл Амурская;Свободный;9;51.3614103;128.1219729
Сковородино обл Амурская р-н Сковородинский;Сковородино;9;53.9871095;123.9437205
Тында обл Амурская;Тында;9;55.1546441;124.7468904
Циолковский обл Амурская;Циолковский;9;51.762481;128.1219846
Шимановск обл Амурская;Шимановск;9;52.0051886;127.7005458
Архангельск обл Архангельская;Архангельск;3;64.5394289;40.5169606
Вельск обл Архангельская р-н Вельский;Вельск;3;61.066;42.1032789
Каргополь обл Архангельская р-н Каргопольский;Каргополь;3;61.5009724;38.9636966
Коряжма обл Архангельская;Коряжма;3;61.2885948;47.1003015
Котлас обл Архангельская р-н Котласский;Котлас;3;61.2528972;46.633242
Мезень обл Архангельская р-н Мезенский;Мезень;3;65.8398078;44.2532273
